Date : 2023-05-07 14:18:59
Directory : /home/mahadeva/code/FreeNetworkMonitor
Total : 81 files,  13435 codes, 314 comments, 648 blanks, all 14397 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/logout-button.js           | JavaScript |         19 |          0 |          7 |         26 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/Blog.js               | JavaScript |        164 |          7 |         12 |        183 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/BlogList.js           | JavaScript |         48 |          0 |          6 |         54 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/BlogTitles.js         | JavaScript |         20 |          0 |          2 |         22 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/BuyMeACoffee.js       | JavaScript |         26 |          0 |          7 |         33 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/Copyright.js          | JavaScript |         16 |          0 |          3 |         19 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/Faq.js                | JavaScript |        196 |          1 |         20 |        217 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/FeaturedPost.js       | JavaScript |         58 |          0 |          6 |         64 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/Footer.js             | JavaScript |         47 |          0 |         11 |         58 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/Guide1Button.js       | JavaScript |         13 |          0 |          0 |         13 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/Header.js             | JavaScript |         62 |          0 |          5 |         67 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/LogoLink.js           | JavaScript |         23 |          0 |          7 |         30 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/MainFeaturedPost.js   | JavaScript |         75 |          0 |         11 |         86 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/Markdown.js           | JavaScript |         49 |          0 |          5 |         54 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/MegaLink.js           | JavaScript |         39 |          0 |          6 |         45 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/Pricing.js            | JavaScript |         96 |          1 |         14 |        111 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/PricingContent.js     | JavaScript |        164 |          1 |         18 |        183 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/ProductDetail.js      | JavaScript |        213 |          2 |         35 |        250 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/Sidebar.js            | JavaScript |         51 |          1 |         11 |         63 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/StripeCheckout.js     | JavaScript |         34 |          1 |         13 |         48 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/posts/blog-post1.md   | Markdown   |         13 |          0 |         11 |         24 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/posts/blog-post2.md   | Markdown   |          6 |          0 |          3 |          9 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/main/posts/blog-post3.md   | Markdown   |         10 |          0 |          6 |         16 |
| /home/mahadeva/code/FreeNetworkMonitor/src/compress-cra.json                     | JSON       |         16 |          0 |          1 |         17 |
| /home/mahadeva/code/FreeNetworkMonitor/src/index.css                             | CSS        |          0 |          0 |          1 |          1 |
| /home/mahadeva/code/FreeNetworkMonitor/src/index.js                              | JavaScript |         34 |          0 |          7 |         41 |
| /home/mahadeva/code/FreeNetworkMonitor/src/loading-circle.js                     | JavaScript |         16 |          0 |          5 |         21 |
| /home/mahadeva/code/FreeNetworkMonitor/src/loading.js                            | JavaScript |         14 |          0 |          5 |         19 |
| /home/mahadeva/code/FreeNetworkMonitor/src/reportWebVitals.js                    | JavaScript |         12 |          0 |          2 |         14 |
| Total                                                                            |            |     13,435 |        314 |        648 |     14,397 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
